Platform,Video URL,Comment,Engagement,Matched Keywords
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"It's weird you're seeing that MAGA will criticize Bondi, but not Trump on this, when he appears to be on the same page and/or wants to take what constitutes ""hate speech"" even further. It'll be interesting 1. To see if and how they try to pivot and ""clarify"" in the short term and 2. the message Trump and others push forward in the coming days and specifically on Sunday at Kirk's Memorial.",1495,hate speech
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"""Were here to save hostages!"" they say bombing everything they can, uhuh, totally how to save hostages, and not blow them up.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,😂😂 hunting down  investigating people in a chat involving a murderer is normal,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Stop sniffin gear Phil,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Epstein files ?,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,American Empire is doing a downfall speedrun 😂😂,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,But the left said there's no such thing as cancel culture..,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Bondi's big 👄,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Free speech is just that: Free Speech!!😲Naom Chomsky: Goebbels was in favor of free speech for view he liked. So was Stalin. If you're really in favor of free speech, then you're  in favor of freedom of speech for precisely the views you despise. Otherwise, you're not in favor of free speech!!

OUTRIGHT LIES, THOUGH, IS DEFINITELY SLANDRR/PROPOGANDA.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Bondi really needs  a wake up call with old fashioned 1950s men 🎉,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,The left and the right in America in politics are both corrupt and hypocrites.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,https://youtu.be/hWnofgXPvzo?si=iXScGYr4hxy1KCGa I hope left can do more street interview like this.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"It's not Cancel Culture, it's called accountability lol you are free to say what you want but you're not free from the consequences. I don't want to have to worry that the EMS might not save my life just cause I don't have the same views.",1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Where was all this outrage when f****** y'all were f****** getting conservatives  canceled for no f****** reason,2,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Its so ironic that what they are referring to as ""hate speech"" are Charlie's words, verbatim....",0,hate speech
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,I’m just wondering how the Supreme Court will weigh in on all this when all the lawsuits start pouring in.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Wasn’t the Washington Post the paper that exposed the corruption of the Nixon Administration? How times have changed!,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,That’s the modern Republican Party for you. Skip the 1st amendment and go straight to the 2nd.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,What the fuck is wrong with all of you people Epstein is dead we should be more focused on people like P Diddy for example and his files,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"7:42, every conservative accusation is a confession/projection. The research shows the vast majority of political violence in the US is committed by those on the right side of the political spectrum.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,47 definitely did not write that x post. It wasn't word salad enough. It was too concise for sure.,0,N/A
